INLINE NewItemTable,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Steel Axe,SteelAxeName,BlankDesc,0x0,0x20,0x2,IsWeapon,0x0,0x0,30,11,75,15,0,0x11,67,ERank,0x20,0x0,NoEffect,2,0x0,0x0,0x0
Silver Axe,SilverAxeName,BlankDesc,0x0,0x21,0x2,IsWeapon,0x0,0x0,20,15,75,12,0,0x11,150,ARank,0x21,0x0,NoEffect,1,0x0,0x0,0x0
Superior Axe,SupAxeName,SupAxeDesc,0x0,0x22,0x2,IsWeapon,0x0,0x0,20,18,60,16,0,0x11,240,DRank,0x22,0x0,NoEffect,1,0x0,0x0,0x0
Brave Axe,BraveAxeName,BraveSwordDesc,0x0,0x23,0x2,IsWeapon|IsBrave,0x0,0x0,30,10,70,16,0,0x11,250,BRank,0x23,0x0,NoEffect,1,0x0,0x0,0x0
Killer Axe,KillAxeName,KillSwdDesc,0x0,0x24,0x2,IsWeapon,0x0,0x0,20,11,70,11,30,0x11,130,CRank,0x24,0x0,NoEffect,1,0x0,0x0,0x0
Master Axe,MstAxeName,MstSwdDesc,0x0,0x25,0x2,IsWeapon|IsBrave,0x0,0x0,20,12,65,15,0,0x11,300,ARank,0x25,0x0,NoEffect,1,0x0,0x0,0x0
Hammer,HammerName,HammerDesc,0x0,0x26,0x2,IsWeapon,0x0,ArmorEffectiveness|IsPointer,20,10,60,15,0,0x11,150,DRank,0x26,0x0,NoEffect,2,0x0,0x0,0x0
Devil Axe,DevilAxeName,DevilAxeDesc,0x0,0x27,0x2,IsWeapon,0x0,0x0,20,18,60,18,0,0x11,120,ERank,0x27,0x0,DevilEffect,8,0x0,0x0,0x0
Hand Axe,HandAxeName,HandAxeDesc,0x0,0x28,0x2,IsWeapon,0x0,0x0,20,7,65,12,0,0x12,60,ERank,0x28,0x0,NoEffect,1,0x0,0x0,0x0
Tomahawk,TomahawkName,HandAxeDesc,0x0,0x29,0x2,IsWeapon,0x0,0x0,15,13,70,14,0,0x12,400,ARank,0x29,0x0,NoEffect,1,0x0,0x0,0x0
Swordreaver,SwordreaverName,SwordreaverDesc,0x0,0x2a,0x2,IsWeapon|ReverseTriangle,0x0,SwordEffectiveness|IsPointer,15,11,70,13,5,0x11,220,CRank,0x2a,0x0,NoEffect,2,0x0,0x0,0x0
Acrobaxe,AcrobaxeName,AcrobaxeDesc,0x0,0x2b,0x2,IsWeapon,0x0,0x0,5,10,90,7,5,0x11,200,CRank,0x2b,0x0,NoEffect,1,0x0,0x0,0x0
Hatchet,HatchetName,HatchetDesc,0x0,0x2c,0x2,IsWeapon,0x0,0x0,50,4,90,5,0,0x12,20,ERank,0x2c,0x0,NoEffect,1,0x0,0x0,0x0
Iron Bow,IronBowName,BlankDesc,0x0,0x2d,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,45,6,90,5,0,0x22,24,ERank,0x2d,0x0,NoEffect,1,0x0,0x0,0x0
Steel Bow,SteelBowName,BlankDesc,0x0,0x2e,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,30,9,75,9,0,0x22,67,DRank,0x2e,0x0,NoEffect,1,0x0,0x0,0x0
Silver Bow,SilverBowName,BlankDesc,0x0,0x2f,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,13,80,6,0,0x22,160,ARank,0x2f,0x0,NoEffect,1,0x0,0x0,0x0
Master Bow,MasterBowName,MstSwdDesc,0x0,0x30,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,40,12,65,5,0,0x22,300,ARank,0x30,0x0,NoEffect,1,0x0,0x0,0x0
Killer Bow,KillerBowName,KillSwdDesc,0x0,0x31,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,10,75,7,30,0x22,70,CRank,0x31,0x0,NoEffect,1,0x0,0x0,0x0
Brave Bow,BraveBowName,BraveSwordDesc,0x0,0x32,0x3,IsWeapon|IsBrave,0x0,FlierEffectiveness|IsPointer,30,10,70,12,0,0x22,250,BRank,0x32,0x0,NoEffect,1,0x0,0x0,0x0
Superior Bow,SupBowName,SupBowDesc,0x0,0x33,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,14,85,5,0,0x22,80,ARank,0x33,0x0,NoEffect,2,0x0,0x0,0x0
Longbow,LongbowName,LongbowDesc,0x0,0x34,0x3,IsWeapon,0x0,FlierEffectiveness|IsPointer,20,5,65,10,0,0x23,100,DRank,0x34,0x0,NoEffect,1,0x0,0x0,0x0
Ballista,BallistaName,BallistaDesc,0x0,0x35,0x3,IsWeapon|Uncounterable,0x0,FlierEffectiveness|IsPointer,5,8,60,20,0,0x3a,0,ERank,0x35,0x0,NoEffect,4,0x0,0x0,0x0
Iron Ballista,IronBalName,IronBalDesc,0x0,0x36,0x3,IsWeapon|Uncounterable,0x0,FlierEffectiveness|IsPointer,5,13,60,20,0,0x3f,0,ERank,0x36,0x0,NoEffect,4,0x0,0x0,0x0
Killer Ballista,KillBalName,KillBalDesc,0x0,0x37,0x3,IsWeapon|Uncounterable,0x0,FlierEffectiveness|IsPointer,5,12,65,20,10,0x3a,0,ERank,0x37,0x0,NoEffect,4,0x0,0x0,0x0
Fire,FireName,BlankDesc,0x0,0x38,0x5,IsWeapon|IsMagic,0x0,0x0,40,5,90,4,0,0x12,28,ERank,0x38,0x0,NoEffect,1,0x0,0x0,0x0
Thunder,ThunderName,BlankDesc,0x0,0x39,0x5,IsWeapon|IsMagic,0x0,0x0,35,8,80,6,5,0x12,40,DRank,0x39,0x0,NoEffect,1,0x0,0x0,0x0
Elfire,ElfireName,BlankDesc,0x0,0x3a,0x5,IsWeapon|IsMagic,0x0,0x0,30,10,85,10,0,0x12,80,CRank,0x3a,0x0,NoEffect,2,0x0,0x0,0x0
Bolting,BoltingName,BoltingDesc,0x0,0x3b,0x5,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,12,60,20,0,0x3a,1000,BRank,0x3b,0x0,CannotDoubleEffect,1,0x0,0x0,0x0
Fimbulvetr,FimbulvetrName,BlankDesc,0x0,0x3c,0x5,IsWeapon|IsMagic|Unsellable|NegateDef,0x0,0x0,20,13,80,12,0,0x12,250,ARank,0x3c,0x0,NoEffect,1,0x0,0x0,0x0
Tsunami,TsunamiName,TsunamiDesc,0x0,0x3d,0x5,IsWeapon|IsMagic,0x0,0x0,20,14,85,11,5,0x12,0,SRank,0x3d,0x0,NoEffect,1,0x0,0x0,0x0
PettanCaliber,PettanName,PettanDesc,0x0,0x3e,0x5,IsWeapon|IsMagic|Unsellable,0x88aeec4,SacredWeaponEffectiveness|IsPointer,30,18,90,13,10,0x12,0,SRank,0x3e,0x0,NoEffect,1,0x0,0x0,0x0
Lightning,LightningName,BlankDesc,0x0,0x3f,0x6,IsWeapon|IsMagic,0x0,0x0,35,4,95,6,5,0x12,36,ERank,0x3f,0x0,NoEffect,1,0x0,0x0,0x0
Shine,ShineName,BlankDesc,0x0,0x40,0x6,IsWeapon|IsMagic,0x0,0x0,30,6,90,8,8,0x12,50,DRank,0x40,0x0,NoEffect,2,0x0,0x0,0x0
Divine,DivineName,BlankDesc,0x0,0x41,0x6,IsWeapon|IsMagic,0x0,0x0,25,8,85,12,10,0x12,120,CRank,0x41,0x0,NoEffect,1,0x0,0x0,0x0
Purge,PurgeName,BoltingDesc,0x0,0x42,0x6,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,10,80,20,5,0x3a,1000,BRank,0x42,0x0,CannotDoubleEffect,3,0x0,0x0,0x0
Aura,AuraName,BlankDesc,0x0,0x43,0x6,IsWeapon|IsMagic,0x0,0x0,20,12,85,15,15,0x12,350,ARank,0x43,0x0,NoEffect,1,0x0,0x0,0x0
Luce (DUMMY),0x403,0x4ab,0x0,0x44,0x6,IsWeapon|IsMagic,0x0,SacredWeaponEffectiveness|IsPointer,20,6,85,10,0,0x12,200,BRank,0x44,0x0,NoEffect,3,0x0,0x0,0x0
Flux,FluxName,BlankDesc,0x0,0x45,0x7,IsWeapon|IsMagic,0x0,0x0,45,7,85,8,0,0x12,30,DRank,0x45,0x0,NoEffect,1,0x0,0x0,0x0
Luna,LunaItemName,LunaItemDesc,0x0,0x46,0x7,IsWeapon|IsMagic|NegateDef,0x0,0x0,30,0,55,12,10,0x12,64,CRank,0x46,0x0,NoEffect,1,0x0,0x0,0x0
Nosferatu,NosName,NosDesc,0x0,0x47,0x7,IsWeapon|IsMagic,0x0,0x0,20,10,75,14,0,0x12,65,CRank,0x47,0x0,NosferatuEffect,1,0x0,0x0,0x0
Eclipse,EclipseName,EclipseDesc,0x0,0x48,0x7,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,255,50,12,0,0x3a,1000,BRank,0x48,0x0,EclipseEffect,8,0x0,0x0,0x0
Fenrir,FenrirName,BlankDesc,0x0,0x49,0x7,IsWeapon|IsMagic,0x0,0x0,20,15,75,18,0,0x12,400,ARank,0x49,0x0,NoEffect,1,0x0,0x0,0x0
Nephilim's Sorrow,NephName,NephDesc,0x0,0x4a,0x7,IsWeapon|IsMagic|Unsellable,NephBoost|IsPointer,0x0,25,28,70,20,0,0x12,0,SRank,0x4a,0x0,NoEffect,3,0x0,0x0,0x0
Heal,HealName,HealDesc,HealUse,0x4b,0x4,IsStaff,0x0,0x0,30,0,60,2,0,0x11,40,ERank,0x4b,0x1,NoEffect,2,0x0,0x0,0x0
Mend,MendName,MendDesc,MendUse,0x4c,0x4,IsStaff,0x0,0x0,20,0,60,4,0,0x11,100,DRank,0x4c,0x2,NoEffect,3,0x0,0x0,0x0
Recover,RecoName,RecoDesc,RecoUse,0x4d,0x4,IsStaff,0x0,0x0,15,0,60,6,0,0x11,300,CRank,0x4d,0x3,NoEffect,3,0x0,0x0,0x0
Physic,PhysicName,PhysicDesc,PhysUse,0x4e,0x4,IsStaff,0x0,0x0,15,0,60,5,0,0x10,500,BRank,0x4e,0x4,NoEffect,3,0x0,0x0,0x0
Fortify,FortiName,FortiDesc,FortiUse,0x4f,0x4,IsStaff,0x0,0x0,8,0,100,7,0,0x10,2000,ARank,0x4f,0x5,NoEffect,5,0x0,0x0,0x0
Restore,RestName,RestDesc,RestUse,0x50,0x4,IsStaff,0x0,0x0,10,0,100,4,0,0x11,300,CRank,0x50,0x6,NoEffect,3,0x0,0x0,0x0
Silence,SilenceName,SilenceDesc,SilenceUse,0x51,0x4,IsStaff,0x0,0x0,3,0,70,7,0,0x10,1500,BRank,0x51,0x7,NoEffect,5,0x0,"ItemStatus(SilenceStatusID,5)",0x0
Sleep,SleepName,SleepDesc,SleepUse,0x52,0x4,IsStaff,0x0,0x0,3,0,65,8,0,0x10,1500,BRank,0x52,0x8,NoEffect,5,0x0,"ItemStatus(SleepStatusID,5)",0x0
Berserk,BerserkName,BerserkDesc,BerserkUse,0x53,0x4,IsStaff,0x0,0x0,3,0,60,8,0,0x10,1500,BRank,0x53,0x9,NoEffect,5,0x0,"ItemStatus(BerserkStatusID,5)",0x0
Warp,WarpName,WarpDesc,WarpUse,0x54,0x4,IsStaff,0x0,0x0,5,0,60,5,0,0x11,1500,ARank,0x54,0xa,NoEffect,7,0x0,0x0,0x0
Rescue,RescueName,RescueDesc,RescueUse,0x55,0x4,IsStaff,0x0,0x0,3,0,80,6,0,0x10,1500,BRank,0x55,0xb,NoEffect,7,0x0,0x0,0x0
Torch,TorchName,TorchDesc,TorchUse,0x56,0x4,IsStaff,0x0,0x0,10,0,100,5,0,0x10,100,DRank,0x56,0xc,NoEffect,5,0x0,0x0,0x0
Hammerne,HammName,HammDesc,HammUse,0x57,0x4,IsStaff|CannotRepair,0x0,0x0,3,0,60,7,0,0x11,600,CRank,0x57,0xd,NoEffect,8,0x0,0x0,0x0
Unlock,UnlockName,UnlockDesc,UnlockUse,0x58,0x4,IsStaff,0x0,0x0,10,0,60,7,0,0x12,150,DRank,0x58,0xe,NoEffect,5,0x0,0x0,0x0
Barrier,BarrierName,BarrierDesc,BarrierUse,0x59,0x4,IsStaff,0x0,0x0,15,0,100,4,0,0x11,150,CRank,0x59,0xf,NoEffect,4,0x0,0x0,0x0
Red Heart,HeartName,HeartDesc,0x0,0x5a,0x2,IsWeapon,0x0,0x0,30,20,90,10,0,0x11,150,SRank,0x5a,0x0,NoEffect,1,0x0,0x0,0x0
Seiso Robe,RobeName,RobeDesc,0x4c1,0x5b,0x9,0x0,RobeBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5b,0x10,NoEffect,0,0x0,0x0,0x0
Engage Ring,EngageName,EngageDesc,0x4c2,0x5c,0x9,0x0,EngageBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5c,0x11,NoEffect,0,0x0,0x0,0x0
Archive,ArchiveName,ArchiveDesc,0x4c3,0x5d,0x9,0x0,ArchiveBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5d,0x12,NoEffect,0,0x0,0x0,0x0
Coffee,CoffeeName,CoffeeDesc,0x4c4,0x5e,0x9,0x0,CoffeeBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5e,0x13,NoEffect,0,0x0,0x0,0x0
Tokens,TokensName,TokensDesc,0x4c5,0x5f,0x9,0x0,TokenBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5f,0x14,NoEffect,0,0x0,0x0,0x0
Pettanshield,PShieldName,PShieldDesc,0x4c6,0x60,0x9,0x0,PettanBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x60,0x15,NoEffect,0,0x0,0x0,0x0
Talisman,0x3da,TalisDesc,0x4c7,0x61,0x9,0x0,TalismanBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x61,0x16,NoEffect,0,0x0,0x0,0x0
Boots,0x3db,BootsDesc,0x4c8,0x62,0x9,0x0,0x88aef30,0x0,1,0,0,0,0,0x11,8000,NoRank,0x62,0x17,NoEffect,0,0x0,0x0,0x0
Body Ring,0x3dc,BodyRingDesc,0x4c9,0x63,0x9,0x0,0x88aef3c,0x0,1,0,0,0,0,0x11,8000,NoRank,0x63,0x18,NoEffect,0,0x0,0x0,0x0
Finger,FingerName,FingerDesc,FingerUse,0x64,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x64,0x19,NoEffect,0,0x0,0x0,0x0
Skill Seal,SklSealName,SklSealDesc,SklSealUse,0x65,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x65,0x1a,NoEffect,0,0x0,0x0,0x0
Speedwing,SpeedwingName,SpeedwingDesc,SpeedwingUse,0x66,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x66,0x1b,NoEffect,0,0x0,0x0,0x0
Alcohol,AlcoholName,AlcoholDesc,AlcoholUse,0x67,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x67,0x1c,NoEffect,0,0x0,0x0,0x0
Rabbit's Foot,RabbitName,RabbitDesc,RabbitUse,0x68,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x9A,0x1d,NoEffect,0,0x0,0x0,0x0
Chest Key,0x3e2,0x491,0x4cf,0x69,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,300,NoRank,0x68,0x1e,NoEffect,0,0x0,0x0,0x0
Door Key,0x3e3,0x492,0x4d0,0x6a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,0x69,0x1f,NoEffect,0,0x0,0x0,0x0
Lockpick,0x3e4,0x493,0x4d1,0x6b,0x9,0x0,0x0,0x0,15,0,0,0,0,0x11,80,NoRank,0x6a,0x20,NoEffect,0,0x0,0x0,0x0
Vulnerary,0x3e5,0x494,0x4d2,0x6c,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,100,NoRank,0x6b,0x21,NoEffect,0,0x0,0x0,0x0
Elixir,0x3e6,0x495,0x4d3,0x6d,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,1000,NoRank,0x6c,0x22,NoEffect,0,0x0,0x0,0x0
Pure Water,0x3e7,0x496,0x4d4,0x6e,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,300,NoRank,0x6d,0x23,NoEffect,0,0x0,0x0,0x0
Antitoxin,0x3e8,0x497,0x4d5,0x6f,0x9,0x0,0x0,0x0,3,0,0,0,0,0x11,150,NoRank,0x6e,0x24,NoEffect,0,0x0,0x0,0x0
Torch,0x3e9,0x498,0x4d6,0x70,0x9,0x0,0x0,0x0,5,0,0,0,0,0x11,100,NoRank,0x6f,0x25,NoEffect,0,0x0,0x0,0x0
Yab Shield,YabName,YabDesc,YabUse,0x71,0x9,Indestructible|NegateFlyingEffectiveness,0x0,0x0,0,0,0,0,0,0x11,10000,NoRank,0x70,0x0,NoEffect,0,0x0,0x0,0x0
Member Card,0x3eb,0x49a,0x4d8,0x72,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,6000,NoRank,0x71,0x0,NoEffect,0,0x0,0x0,0x0
Silver Card,0x3ec,0x49b,0x4d9,0x73,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,4000,NoRank,0x72,0x0,NoEffect,0,0x0,0x0,0x0
White Gem,0x3ef,0x49e,0x0,0x74,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x73,0x0,NoEffect,0,0x0,0x0,0x0
Blue Gem,0x3f0,0x49f,0x0,0x75,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x74,0x0,NoEffect,0,0x0,0x0,0x0
Teal Gem,0x3f1,0x4a0,0x0,0x76,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,0x75,0x0,NoEffect,0,0x0,0x0,0x0
Abort,AbortName,AbortDesc,0x0,0x77,0x4,IsStaff|Unsellable,0x0,0x0,5,0,100,5,0,0x10,0,NoRank,0x76,0x3E,NoEffect,1,0x0,0x0,0x0
Splicer,SplicerName,SplicerDesc,0x0,0x78,0x1,IsWeapon|Unsellable|EphraimLock,0x0,LordWeaponEffectiveness|IsPointer,45,10,80,8,10,0x0,160,NoRank,0x77,0x0,NoEffect,2,0x0,0x0,0x0
Chest Key (5),0x3e2,0x491,0x4cf,0x79,0x9,0x0,0x0,0x0,5,0,0,0,0,0x11,300,NoRank,0x78,0x26,NoEffect,0,0x0,0x0,0x0
Mine (DUMMY),0x403,0x4ab,0x0,0x7a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,500,NoRank,0x79,0x27,NoEffect,0,0x0,0x0,0x0
Light Rune (DUMMY),0x403,0x4ab,0x0,0x7b,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,800,NoRank,0x7a,0x28,NoEffect,0,0x0,0x0,0x0
Hoplite Guard,HopliteName,HopliteDesc,0x4dd,0x7c,0x9,Indestructible|NegateCriticals,0x0,0x0,0,0,0,0,0,0x11,5000,NoRank,0x7b,0x0,NoEffect,0,0x0,0x0,0x0
Everlasting Soul,EverSoulName,EverSoulDesc,EverSoulDesc,0x7d,0xc,CannotRepair|Unsellable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x7c,0x29,NoEffect,0,0x0,"ItemStatus(AtkRingStatusID,3)",0x0
Cloudy Sheep,CloudyName,CloudyDesc,CloudyDesc,0x7e,0xc,CannotRepair|Unsellable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x7d,0x2a,NoEffect,0,0x0,"ItemStatus(DefRingStatusID,3)",0x0
Eternity Bright,EternityName,EternityDesc,EternityDesc,0x7f,0xc,CannotRepair|Unsellable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x7e,0x2b,NoEffect,0,0x0,"ItemStatus(CritRingStatusID,3)",0x0
Midnight Song,MidnightName,MidnightDesc,MidnightDesc,0x80,0xc,CannotRepair|Unsellable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x7f,0x2c,NoEffect,0,0x0,"ItemStatus(AvoRingStatusID,3)",0x0
Adventitious,AdventName,AdventDesc,0x0,0x81,0x5,IsWeapon|IsMagic|Unsellable,0x0,MonsterEffectiveness|IsPointer,25,17,85,14,5,0x12,0,SRank,0x80,0x0,NoEffect,1,0x0,0x0,0x0
Dyamare,DyaName,DyaDesc,0x0,0x82,0x5,IsWeapon|IsMagic|Unsellable,0x0,MonsterEffectiveness|IsPointer,15,19,70,20,5,0x3A,0,SRank,0x81,0x0,NoEffect,1,0x0,"ItemStatus(SilenceStatusID,5)",0x0
Yuki-Yo-Zuki,YukiName,YukiDesc,0x0,0x83,0x2,IsWeapon,0x0,MonsterEffectiveness|IsPointer,60,8,75,10,5,0x11,0,ERank,0x82,0x0,NoEffect,1,0x0,0x0,0x0
