09000000 NewTextTable
09080990 Mag_Stat_Booster_Cap_Check
090809BC Prep_Screen_Write_Old_Stats
090809F4 Prep_Screen_Write_New_Stats
09080A2C Incremented_Stat_Table
09080A40 Prep_Screen_Usability1
09080A60 Prep_Screen_Usability2
09080A7C Mag_Booster_Item_Ptr
09080A88 Write_Bases_to_RAM
09080AC0 Write_Bases_For_Penalty
09080AF4 Char_Mag_Autolevel
09080B50 Class_Mag_Autolevel
09080B8C MagicSwordRework
09080C1C MagicSwordList
09080C28 CheckWexpWeaponTypeHook
09080C48 GetItemMagBonus
09080C74 InitUnitHook
09080CA8 FatigueUnit
09080CDC StairsUsability
09080D94 StairsEffect
09080E3E FixWait2
09080E62 StairsMoveDebuff
09080E76 EndTurnFix
09080E98 UnsetMoveDebuff
09080EC2 ActionPickRepoint
09080F0C StairErrorTextLocation
09080F10 CharacterStructStairByte
09080F14 StairCameraEvent
09080F28 ArriveCommandUsability
09080F60 ArriveCommandEffect
09080F74 DebuffRestorePerTurnAmount_Link
09080F78 BuffDepletePerTurnAmount_Link
09080F7C RequireDamageToDebuff_Link
09080F80 EternalVanity_Link
09080F84 SpecRallyAmount_Link
09080F88 MagRallyAmount_Link
09080F8C StrRallyAmount_Link
09080F90 SklRallyAmount_Link
09080F94 SpdRallyAmount_Link
09080F98 DefRallyAmount_Link
09080F9C ResRallyAmount_Link
09080FA0 LukRallyAmount_Link
09080FA4 MovRallyAmount_Link
09080FA8 DebuffStatNumberOfBits_Link
09080FAC DebuffStatBitOffset_Mag
09080FB0 DebuffStatBitOffset_Str
09080FB4 DebuffStatBitOffset_Skl
09080FB8 DebuffStatBitOffset_Spd
09080FBC DebuffStatBitOffset_Def
09080FC0 DebuffStatBitOffset_Res
09080FC4 DebuffStatBitOffset_Luk
09080FC8 DebuffStatBitOffset_Mov
09080FCC RalliesOffset_Link
09080FD0 StrRallyOffset_Link
09080FD4 SklRallyOffset_Link
09080FD8 SpdRallyOffset_Link
09080FDC DefRallyOffset_Link
09080FE0 ResRallyOffset_Link
09080FE4 LukRallyOffset_Link
09080FE8 MovRallyOffset_Link
09080FEC SpecRallyOffset_Link
09080FF0 MagRallyOffset_Link
09080FF4 HalfStrBitOffset_Link
09080FF8 HalfMagBitOffset_Link
09080FFC HalfHpBitOffset_Link
09081000 ArmorMarchBitOffset_Link
09081004 VigorDanceBitOffset_Link
09081008 RalliesNumberOfBits_Link
0908100C DebuffAssertTable
09081014 DebuffTooBig
09081014 TeamDebuffTables
09081078 setDebuffs
0908109C ApplyWeaponDebuffs
09081228 ReloadDebuffs
09081244 InitDebuffs
0908125C ClearAllDebuffs
09081288 ClearUnitDebuffs
090812AC GetUnitDebuffEntry
090812D4 ProcessPureWater
090812FA ProcessDebuffs
09081498 GetNewTemporaryStatValue
090814D0 SetUnitDebuff_ASMC
09081514 AddUnitDebuff_ASMC
0908156C SubUnitDebuff_ASMC
090815C4 OverwriteUnitDebuff_ASMC
09081604 DebuffGivenTableEntry
090816B0 DebuffNumberOfStats_Link
090816B4 DebuffEntrySize_Link
090816B8 DebuffTableRam_Link
090816BC DebuffTableSize_Link
090816C0 fixStealGfx
090816F0 SpecialRangeTable
09081708 RangeCalcGetter
09081738 RangeTextGetter
09081768 HalfMag_Range
0908177C Total_Range
09081784 Item_TURange
090817B4 Item_TURangeBuilder
0908183C Item_TTRange
0908186C Item_TTRangeBuilder
090818D8 GetItemRange
090818D8 ItemRangeGetter
09081940 GetItemRangeM
09081954 GetItemRangeMin
09081964 GetItemRangeMax
09081974 FillRange
090819AC ItemAI_ConfirmAction
09081A08 ItemAI_PocketWrite
09081A30 ItemAI_RangeBuilder
09081A8C StaffAI_TargetUnits
09081BCC StaffAI_TargetTiles
09081CFC StaffAI_TargetAreas
09081E28 GetUnitHPPercent
0803FBC8 HealStaff_AIC
08040174 RestoreStaff_AIC
08040364 SilenceStaff_AIC
080404F0 SleepStaff_AIC
0803FF10 FortifyStaff_AIC
0802606C Barrier_Jump
08026080 Unlock_Jump
08026294 Warp_Jump
080262A8 Hammerne_Jump
080262BC DancerRingTargetSelect
080262D4 DancerRingJump
08016CD0 MakeRangeText
0801ACBC All_Weapons_All_Squares
0801ACD8 All_Staffs_All_Squares
0801ACF4 Fortify_Jump
0801ACFC Can_Attack_Target
0801AD2C GetItemRangeM_AIJump
09081E5C All_Weapons_One_Square
09081E8C All_Staffs_One_Square
09081EB4 All_Moveable_Squares
09081F78 Return_Range_Bitfield
0908200C Get_Item_Range
09082058 Write_Range
09082164 Unknown_Function
090821DC Weapon_Attack
0908220C StatScreenRangeDisplay
0908222C ItemDescRangeDisplay
09082274 Target_Routine_For_Fortify
09082288 Torch_Fix
090822BC HealStaff_RangeSetup
090822CC RestoreStaff_RangeSetup
090822DC SilenceStaff_RangeSetup
090822EC SleepStaff_RangeSetup
090822FC BerserkStaff_RangeSetup
0908230C WarpStaff_RangeSetup
0908231C RescueStaff_RangeSetup
0908232C HammerneStaff_RangeSetup
0908233C UnlockStaff_RangeSetup
0908234C BarrierStaff_RangeSetup
0908235C DancerRing_RangeSetup
0908348C RescueASMC
090834E8 LoadTrapsASMC
09083504 SendToConvoy
09083554 FixWpnRnkHook
0908357C prNewActionApplication
090835F0 prWaitAction
090835F4 pActionRoutineTable
0908374C FreezeAllASMC
09083770 LockIDGetter
0908378C LockAssociationTable
0908388C AdvWeaponLocks
09083928 AmeliaArray
0908392A ReineArray
0908392E MumeiArray
09083930 FaunaArray
09083934 MikoArray
09083936 NoelArray
0908393C Proc_StatusWeapons
0908398C UTF8_COMMON
09083AA8 DrawUTF8Item
09083AC0 DrawUTF8Serif
09083AD8 DrawUTF8WidthChar
09083AFC DrawUTF8WidthString
09083B70 Item_0000_Next
09083C08 Text_0000_Next
09083CA0 Item_0004_Next
09083D38 Text_0004_Next
09083DD0 Item_0005_Next
09083E68 Text_0005_Next
09083F00 Item_0007_Next
09083F98 Text_0007_Next
09084030 Item_000A_Next
090840C8 Text_000A_Next
09084160 Item_000B_Next
090841F8 Text_000B_Next
09084290 Item_000D_Next
09084328 Text_000D_Next
090843C0 Item_000F_Next
09084458 Text_000F_Next
090844F0 Item_0018_Next
09084588 Text_0018_Next
09084620 Item_001B_Next
090846B8 Text_001B_Next
09084750 Item_001C_Next
090847E8 Text_001C_Next
09084880 Item_0020_Next
09084918 Text_0020_Next
090849B0 Item_0021_Next
09084A48 Text_0021_Next
09084AE0 Item_0022_Next
09084B78 Text_0022_Next
09084C10 Item_0043_Next
09084CA8 Text_0043_Next
09084D40 Item_0047_Next
09084DD8 Text_0047_Next
09084E70 Item_0048_Next
09084F08 Text_0048_Next
09084FA0 Item_0049_Next
09085038 Text_0049_Next
090850D0 Item_004D_Next
09085168 Text_004D_Next
09085200 Item_004F_Next
09085298 Text_004F_Next
09085330 Item_0050_Next
090853C8 Text_0050_Next
09085460 Item_0052_Next
090854F8 Text_0052_Next
09085590 Item_0056_Next
09085628 Text_0056_Next
090856C0 Item_0057_Next
09085758 Text_0057_Next
090857F0 Item_0058_Next
09085888 Text_0058_Next
09085920 Item_005B_Next
090859B8 Text_005B_Next
09085A50 Item_0060_Next
09085AE8 Text_0060_Next
09085B80 Item_0062_Next
09085C18 Text_0062_Next
09085CB0 Item_006A_Next
09085D48 Text_006A_Next
09085DE0 Text_0070_Next
09085E78 Item_0074_Next
09085F10 Text_0074_Next
09085FF0 Text_0075_Next
09086088 Text_0076_Next
09086120 Text_0077_Next
090861B8 Text_0078_Next
09086250 Text_0079_Next
090862E8 Item_007F_Next
09086380 Text_007F_Next
09086418 Item_0080_Next
090864B0 Text_0080_Next
09086548 Text_0082_Next
090865E0 Text_0083_Next
09086678 Text_0084_Next
09086710 Text_0085_Next
090867A8 Text_0086_Next
09086840 Text_0087_Next
090868D8 Text_0088_Next
09086970 Text_0089_Next
09086A08 Text_008A_Next
09086AA0 Text_008B_Next
09086B38 Text_008C_Next
09086BD0 Text_008D_Next
09086C68 Text_008E_Next
09086D00 Item_008F_Next
09086D98 Text_008F_Next
09086E78 Text_0090_Next
09086F10 Text_0091_Next
09086FA8 Text_0092_Next
09087040 Item_0093_Next
090870D8 Text_0093_Next
090871B8 Text_0094_Next
09087250 Text_0095_Next
090872E8 Text_0096_Next
09087380 Text_0097_Next
09087418 Text_0098_Next
090874B0 Item_0099_Next
09087548 Text_0099_Next
090875E0 Text_009B_Next
09087678 Item_009C_Next
09087758 Text_009C_Next
09087838 Item_009F_Next
090878D0 Text_009F_Next
09087968 Item_00A0_Next
09087A00 Text_00A0_Next
09087A98 Item_00A6_Next
09087B30 Text_00A6_Next
09087BC8 Item_00B0_Next
09087CA8 Text_00B0_Next
09087D88 Item_00B2_Next
09087E20 Text_00B2_Next
09087F00 Item_00B3_Next
09087F98 Text_00B3_Next
09088078 Item_00B7_Next
09088110 Text_00B7_Next
090881A8 Item_00B8_Next
09088240 Text_00B8_Next
090882D8 Text_00B9_Next
09088370 Item_00BB_Next
09088408 Text_00BB_Next
090884A0 Item_00BD_Next
09088538 Text_00BD_Next
090885D0 Item_00E1_Next
09088668 Text_00E1_Next
09088700 Item_00E2_Next
09088798 Text_00E2_Next
09088830 Item_00E3_Next
090888C8 Text_00E3_Next
09088960 Item_00EB_Next
090889F8 Text_00EB_Next
09088A90 Item_00EF_Next
09088B28 Text_00EF_Next
09088B70 CritCap
09088B88 Item_GetStat_EPV
0802F8B0 GetStatBoosterText
08078214 IER_GetItemAnimation
08028E80 EffectJumpTable
08028E94 IBEffectJumpTable
08028EA8 Item_GetStat_EPV_Jump
08028EB0 IER_GetSpellAnimLoop
08028EC8 IER_GetEffectAnimLoop
08028EF8 CanUseLockpicks
09088BA0 IEAfterBattle
09088C08 ItemEffectAfterAnimProc
09088C20 Inventory_EIDCheck
09088C54 MasterKeyUsability
09088C60 MasterKeyUseCheck
08018AE4 Inventory_EIDCheck_Jump
09088C8C IDListLoop
09088CB0 ChestKeyCheck
09088CC4 HealingItemCheck
09088CD4 PromoLordCheck
09088CFC PrepPromoEffectCheck
09088D0C AoEStatusStaffTargeting
09088D28 AoEStatusStaffUsability
09088D4C AoEStatusStaff_RangeSetup
09088D5C ApplyStaffStatusAfterBattle
09088E0C FixDurabilityChestPopupASMC
09088E84 PreBattle_UnsetDurabilityFlag
09088E90 CheckCHES
09088ED8 ItemGot_GotLeItem
09088F28 GiveItemWithDurability
09088F40 NewChestGiveItemEvent
09088F70 NewShopMakeItem
09088FB4 NewGetItemCost
0908900C FixedPriceItemList
09089010 SetDurability
09089044 GetItemNameString
090890B8 NewItemNameGetter1
0908911C NewItemNameGetter2
09089190 GetItemDescStringIndex
090891CC NewItemNameGetter3
09089238 ScrollDurabilityGetter
09089270 ScrollDurabilityGetter_StatScreen
090892B0 ScrollDurabilityGetter_UnitMenu
090892FC ScrollDurabilityGetter_DropItem
09089334 CheckIfSkillBookIcon
0908936C CheckIfSkillBookIcon_Prep1
090893A4 CheckIfSkillBookIcon_Prep2
090893EC CheckIfSkillBookIcon_Sell
09089434 CheckIfSkillBookIcon_Use
09089474 CheckIfSkillBookIcon_Generic
090894C4 CheckIfSkillBookIcon_DropItem
090894FC DurabilityBasedItemNameList
0908950C DurabilityBasedItemDescList
0908951C DurabilityItemList
0908951E DurabilityBasedItemIconList
09089524 IsUnitOnField
09089548 GaidenStatScreen
0908954C UnlockPostCombat
09089550 MenuResetSkillBuffer
09089568 KeepProcSkillIcon
09089598 SkillActivationAnims
0908967C SkillProcDisplayMap
090896FC SPD_init
090897EC SPD_destructor
09089870 SPD_Map_clearScreenEntries
090898D8 SPD_Map_loop
090899A8 SPD_loop
09089B74 SPD_Map_init
09089BEC SPD_Map_main_Proc
09089C24 SPD_main_Proc
09089C5C SPD_ProcDisplayTiles
09089E5C Skill_Getter
09089F00 IsSkillInBuffer
09089F20 NihilTester
09089F88 GetItemDataExt
09089F9C MakeSkillBuffer
0908A150 MakeAuraSkillBuffer
0908A278 CheckSkillBuffer
0908A2B8 SkillTester
0908A334 NewAuraSkillCheck
0908A3E0 InitializePreBattleLoop
0908A41C InitSkillBuffers
0908A430 GetUnitsInRange
0908A544 GetInitialSkillList_Pointer
0908A548 gSkillTestConfig
0908A550 PassiveSkillBit
0908A554 NihilIDLink
0908A558 NegatedSkills
0908A658 SkillAdder
0908A6A4 HookUnitLoading
0908A6F4 AutoloadSkills
0908A734 GetInitialSkillList
0908A770 GetUnitLevelSkills
0908A84C RTextLoop
0908A8C0 Rerun_Battle_Calcs
0908A920 Unset_Attack_Flag_2
0908A93C RemoveRoundHack
0908A974 gBattleBufferWidth
0908A978 PopRSkillIconComponent
0908A980 PopRSkillIconLength
0908A984 PopRSkillIconDisplay
0908A9BC InitLevelUpSkillPopup
0908AA4C InitPromotionSkillPopup
0908AAAC SkillLearnedPopup
0908AAD4 NewEfxHPBar
0908AAFC NewEfxHPBarLive
0908AB24 efxHPBarRoutine
0908ADE4 efxHPBarParent
0908AF04 efxHPBarLiveParent
0908B024 efxHPBarLiveRoutine
0908B1EC hpstealing_showanim
0908B23C NosferaFix
0908B264 animsoff_hpdrain
0908B27C EphraimLordSkillList
0908B280 EirikaLordSkillList
0908B284 EphraimGreatLordSkillList
0908B288 EirikaGreatLordSkillList
0908B28C CavalierSkillList
0908B28E PaladinSkillList
0908B290 KnightSkillList
0908B294 GeneralSkillList
0908B298 ThiefSkillList
0908B29C MercenarySkillList
0908B2A0 HeroSkillList
0908B2A4 MyrmidonSkillList
0908B2A8 SwordmasterSkillList
0908B2AC AssassinSkillList
0908B2B4 ArcherSkillList
0908B2B8 SniperSkillList
0908B2BC RangerSkillList
0908B2C0 WyvernRiderSkillList
0908B2C4 WyvernLordSkillList
0908B2C8 WyvernKnightSkillList
0908B2CC MageSkillList
0908B2D0 SageSkillList
0908B2D4 MageKnightSkillList
0908B2D8 BishopSkillList
0908B2DC ShamanSkillList
0908B2E0 DruidSkillList
0908B2E4 SummonerSkillList
0908B2E8 RogueSkillList
0908B2F0 GreatKnightSkillList
0908B2F4 ManaketeFSkillList
0908B2F8 FighterSkillList
0908B2FC WarriorSkillList
0908B300 BrigandSkillList
0908B304 PirateSkillList
0908B308 BerserkerSkillList
0908B30C MonkSkillList
0908B310 PriestSkillList
0908B314 PegKnightSkillList
0908B318 FalcoknightSkillList
0908B31C ClericSkillList
0908B320 TroubadourSkillList
0908B324 ValkyrieSkillList
0908B328 DancerSkillList
0908B32C SoldierSkillList
0908B330 NecromancerSkillList
0908B334 FleetSkillList
0908B338 PhantomSkillList
0908B33C SuperJourneymanSkillList
0908B340 SuperPupilSkillList
0908B344 SuperRecruitSkillList
0908B348 ManaketeMSkillList
0908B34C DemonKingSkillList
0908B350 SkillDescTable
0908B550 SkillIcons
09093550 SkillAnimationTable
09093950 RightfulKing
09093978 RightfulGod
090939A0 RightfulArch
090939C8 HeroSkill
090939FC RightfulKingIDLink
090939FC RightfulGodIDLink
090939FE RightfulArchIDLink
090939FE HeroIDLink
09093A00 Provoke
09093A34 LungeAI
09093A64 Shade
09093AAC ShadePlus
09093AFC AuraSkillCheck
09093BC8 SpurStr
09093C04 SpurMag
09093C40 SpurSpd
09093C70 SpurDef
09093CB4 SpurRes
09093CF8 Demoiselle
09093D3C Gentilhomme
09093D80 MaleficAura
09093DBC Intimidate
09093DEC Inspiration
09093E28 DivinelyInspiring
09093E64 Charm
09093E94 Charisma
09093ECC VoiceOfPeace
09093EFC Tantivy
09093F44 Focus
09093F84 Anathema
09093FBC Hex
09093FEC HexIDLink
09093FF0 LilysPoise
0909402C UpWithArch
090940C8 Solidarity
09094100 DriveDef
09094144 DriveMag
09094180 DriveRes
090941C4 DriveSpd
090941F4 DriveStr
09094230 Daunt
09094274 BloodTide
090942AC WhitePool
090942E4 NightTide
09094314 Infiltrator
09094368 ArmorMarchList
09094370 ArmorMarch_StartOfTurn
09094480 BlueFlameAura
090944B0 KeepUp
090945A4 PastelVeil
090945E8 Pathfinder
09094664 Armorboost
090946E8 Horseguard
09094764 Skyguard
090947E0 ShowBuffEvent
09094800 StrTaker
090948CC PostBattleFunc_Killed
090948EE SklTaker
09094920 SpdTaker
09094950 DefTaker
09094980 ResTaker
090949B0 LukTaker
090949E0 MagTaker
09094A14 MovTaker
09094A44 HoneStr
09094A60 HoneMag
09094A80 HoneSkl
09094A9C HoneSpd
09094AB8 HoneDef
09094AD4 HoneRes
09094AF0 HoneLuk
09094B0C HoneMov
09094B28 IsHoneApplicable
09094BC0 OathStr
09094BDC OathMag
09094BFC OathSkl
09094C18 OathSpd
09094C34 OathDef
09094C50 OathRes
09094C6C OathLuk
09094C88 OathMov
09094CA4 IsOathApplicable
09094D1C RouseStr
09094D38 RouseMag
09094D58 RouseSkl
09094D74 RouseSpd
09094D90 RouseDef
09094DAC RouseRes
09094DC8 RouseLuk
09094DE4 RouseMov
