INLINE ClassLevelUpSkillTable,Skill Pointer
0x74 Queen,0x0
0x75 Prince,0x0
0x76 Queen,0x0
0x77 (empty),0x0
0x78 Fallen Prince,0x0
0x79 Tent,0x0
0x7A Pontifex,0x0
0x7B Fallen Peer,0x0
0x7C Cyclops 2,0x0
0x7D Elder Bael 2,0x0
0x7E Journeyman (2),0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],0x0
Circus Tent,0x0
???,0x0
Neko,0x0
Mage,0x0
Light Mage,0x0
Crewmate,0x0
The Weapon,0x0
T[_r][_a][_v][_e]li[_n][_g][_SP][_C]i[_r][_c][_u][_s],PolkaSkillsList|IsPointer
Smol Ame,0x0
Crossbowmen,0x0
Warrior,0x0
Berserker,0x0
Succubus,0x0
Scholar,0x0
Witch,0x0
Gunner,0x0
L. Gunner,0x0
Rogue,0x0
KFP,0x0
Harrier,0x0
Blacksmith,0x0
Samurai,0x0
The Doog,0x0
The Slayer,0x0
FellBeast,0x0
Oni,0x0
Pirate,0x0
Shaman,0x0
Angel,0x0
Commander,0x0
Baellista,0x0
Tank,0x0
Infantry,0x0
Howtizer,0x0
Warden,0x0
Guardian,0x0
Guardian,0x0
Drowned,0x0
Symphone,0x0
Druid,0x0
Succubus,0x0
Laplace,0x0
Scientist,0x0
Nephilim,0x0
Peg. Trainee,0x0
Magic Girl,0x0
Mahou Girl,0x0
Maid,0x0
Gore,0x0
Legion,0x0
King,0x0
Seal,0x0
CEO,0x0
War Elephant,0x0
Rat,0x0
Catapult,0x0
Novistador,0x0
Dancer,0x0
Trickster,0x0
Marshall,0x0
Sentinel,0x0
Necromancer,0x0
Seraph Knight,0x0
Master Knight,0x0
Marksmen,0x0
Halberdier,0x0
Archer,0x0
Ballista,0x0
Vanguard,0x0
Ronin,0x0
Kensei,0x0
Campfire,0x0
Corpse,0x0
Corpse,0x0
Corpse,0x0
CAMERA,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
