INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
Armour Knight (F),0x2c3,0x30f,0xa,0xc,0x6,0x1,0x76,0xc,16,4,3,1,8,1,10,4,80,20,20,20,20,20,25,3,80,40,30,15,28,20,25,2,1,1,1,2,0,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af054,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,ArmorType
General,0x2c4,0x310,0xb,0x9,0x7,0x1,0x77,0xd,21,8,4,3,13,3,15,5,80,40,40,40,40,40,25,3,75,30,20,10,23,25,20,4,2,2,3,2,3,IsPromoted,ERank,CRank,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,GeneralAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,ArmorType
Crate,CrateName,CrateDesc,0xc,0xa,0x6D,0x1,0x77,0xd,30,0,0,0,10,0,25,0,80,0,0,0,40,40,25,3,50,0,0,0,10,0,0,3,2,3,2,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Thief,0x2c5,0x311,0xd,0x17,0x8,0x0,0x8e,0x7,16,3,1,9,2,0,6,6,80,20,20,20,20,20,25,2,45,45,70,70,15,15,40,0,0,0,0,0,0,Steal|CanUseLockpick,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0a0,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Dummy,0x2d7,0x323,0xe,0x1f,0x9,0x0,0x8f,0x1f,12,0,0,2,2,2,5,8,80,20,20,20,20,20,25,2,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType
Mercenary,0x2c6,0x312,0xf,0x11,0xa,0x0,0x90,0x3,18,4,8,8,4,0,9,5,80,20,20,20,20,20,25,3,80,40,40,32,18,20,30,0,0,0,0,0,0,0x0,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Mercenary (F),0x2c6,0x312,0x10,0x12,0xb,0x0,0x71,0x3,16,3,5,6,2,0,8,5,80,20,20,20,20,20,25,3,80,40,40,32,18,30,30,0,0,0,0,0,0,0x0,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FMercAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Hero,0x2c7,0x313,0x11,0xf,0xc,0x0,0x91,0x4,22,6,9,10,8,2,11,6,80,40,40,40,40,40,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,IsPromoted,CRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,HeroAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Hero (F),0x2c7,0x313,0x12,0x10,0xd,0x0,0xBE,0x4,22,6,10,11,6,3,9,6,80,40,40,40,40,40,25,3,75,30,30,20,20,20,25,0,0,0,0,0,0,IsPromoted,CRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,FHeroAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Myrmidon,0x2c8,0x314,0x13,0x15,0xe,0x0,0x72,0x5,16,4,9,9,2,0,8,5,80,20,20,20,20,20,25,3,70,35,40,40,15,20,30,0,0,0,0,0,0,SwordmasterUnlock,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Myrmidon (F),0x2c8,0x314,0x14,0x16,0xf,0x0,0xC2,0x5,15,3,9,10,1,1,5,5,80,20,20,20,20,20,25,3,70,35,40,40,15,20,30,0,0,0,0,0,0,SwordmasterUnlock,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Swordmaster,0x2c9,0x315,0x15,0x13,0x10,0x0,0x73,0x6,21,6,11,10,5,2,9,6,80,40,40,40,40,40,25,3,65,25,30,30,15,22,25,5,2,0,0,2,1,SwordmasterUnlock|IsPromoted|CritBoost,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SwordmasterAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Swordmaster (F),0x2c9,0x315,0x16,0x14,0x11,0x0,0x73,0x6,19,6,11,12,4,3,7,6,80,40,40,40,40,40,25,3,65,25,30,30,15,22,25,4,2,1,0,2,1,SwordmasterUnlock|IsPromoted|CritBoost,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FSwordmasterAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Assassin,0x2ca,0x316,0x17,0xd,0x12,0x0,0xAF,0x8,16,3,1,9,2,0,8,6,80,40,40,40,40,40,25,3,50,5,45,40,5,20,40,3,1,0,0,2,2,CanUseLockpick|IsPromoted|SwordmasterUnlock|Lethality,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af138,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Assassin (F),0x2ca,0x316,0x18,0xd,0x13,0x0,0x85,0x8,16,3,1,9,2,0,6,6,80,40,40,40,40,40,25,3,50,5,45,40,5,20,40,2,1,1,1,2,1,CanUseLockpick|IsPromoted|SwordmasterUnlock|Lethality,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,Chloe|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Archer,0x2cb,0x317,0x19,0x1b,0x14,0x0,0x78,0xa,18,4,3,3,3,0,7,5,80,20,20,20,20,20,25,3,70,35,40,32,15,15,35,0,0,0,0,0,0,UseBallista,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,0x88af150,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer (F),0x2cb,0x317,0x1a,0x1c,0x15,0x0,0x84,0xa,17,3,3,4,3,0,5,5,80,20,20,20,20,20,25,3,70,35,40,32,15,20,35,0,0,0,0,0,0,UseBallista,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,FaunaAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper,0x2cc,0x318,0x1b,0x19,0x16,0x0,0x79,0xb,21,7,6,5,5,2,8,6,80,40,40,40,40,40,25,3,65,30,30,20,15,20,30,3,1,2,2,2,3,IsPromoted|UseBallista,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,SniperAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper (F),0x2cc,0x318,0x1c,0x1a,0x17,0x0,0x79,0xb,19,6,6,7,5,3,6,6,80,40,40,40,40,40,25,3,65,30,30,20,15,25,30,4,3,1,1,2,2,IsPromoted|UseBallista,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,FSniperAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger,0x2cd,0x319,0x1d,0x19,0x18,0x0,0x97,0xc,21,7,6,7,6,3,9,7,80,40,40,40,40,40,25,3,60,25,30,35,15,15,25,3,2,1,1,3,3,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,0x88af1b0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,HorseType
Ranger (F),0x2cd,0x319,0x1e,0x1a,0x18,0x0,0x97,0xc,21,6,6,7,5,4,8,7,80,40,40,40,40,40,25,3,60,25,30,35,15,20,25,2,2,2,1,3,3,HorseIcon|IsPromoted|MountedAid|HasCanto,DRank,NoRank,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,0x88af1c0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,HorseType
Wyvern Rider,0x2ce,0x31a,0x1f,0x21,0x19,0x0,0x88,0xd,20,7,3,5,8,0,10,7,80,20,20,20,20,20,25,3,80,45,35,30,25,15,25,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,MWyvernRiderAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType|FlierType
Wyvern Rider (F),0x2ce,0x31a,0x20,0x22,0x1a,0x0,0x88,0xd,19,6,5,5,7,0,9,7,80,20,20,20,20,20,25,3,80,45,35,30,25,17,25,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernRiderAnims|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType|FlierType
Wyvern Lord,0x2cf,0x31b,0x21,0x1f,0x1b,0x0,0x89,0xe,25,9,5,7,10,1,11,8,80,40,40,40,40,40,25,3,75,40,30,20,20,17,20,4,2,2,0,2,0,MountedAid|HasCanto|DragonIcon|IsPromoted,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernLordAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType|FlierType
Wyvern Lord (F),0x2cf,0x31b,0x22,0x20,0x1c,0x0,0x89,0xe,24,8,7,7,9,2,10,8,80,40,40,40,40,40,25,3,75,40,30,20,20,17,20,0,0,0,0,0,0,MountedAid|HasCanto|DragonIcon|IsPromoted,DRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FWyvernLordAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType|FlierType
Wyvern Knight,0x2d0,0x31c,0x23,0x1f,0x1d,0x0,0x93,0xf,20,7,7,8,7,1,10,8,80,40,40,40,40,40,25,3,65,35,30,30,15,17,25,3,1,2,3,0,1,MountedAid|HasCanto|DragonIcon|IsPromoted,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,WyvernKnightAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType|FlierType
Wyvern Knight (F),0x2d0,0x31c,0x24,0x20,0x70,0x0,0x93,0xf,19,6,8,9,6,2,9,8,80,40,40,40,40,40,25,3,65,35,30,30,15,20,25,3,2,1,2,1,1,MountedAid|HasCanto|DragonIcon|IsPromoted,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FWyvernKnightAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType|FlierType
Mage,MageName,MageDesc,0x25,0x27,0x1e,0x0,0x7c,0x12,16,1,2,3,3,3,6,5,80,20,20,20,20,20,25,3,55,55,40,35,5,30,20,1,0,1,2,1,2,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,MageAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage (F),MageName,MageDesc,0x26,0x28,0x1f,0x0,0xC0,0x12,16,1,3,2,2,4,3,5,80,20,20,20,20,20,25,3,55,55,40,35,5,40,20,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,NoRank,NoRank,FMageAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage,0x2d2,0x31e,0x27,0x25,0x20,0x0,0x7d,0x13,20,5,4,4,5,5,7,6,80,40,40,40,40,40,25,3,45,45,30,25,10,40,15,4,1,0,0,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,CRank,DRank,NoRank,0x88af248,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage (F),0x2d2,0x31e,0x28,0x26,0x21,0x0,0xCF,0x13,19,4,6,5,3,6,4,6,80,40,40,40,40,40,25,3,45,45,30,25,10,40,15,3,1,1,0,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,DRank,CRank,DRank,NoRank,0x88af260,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage Knight,0x2d3,0x31f,0x29,0x25,0x22,0x0,0x95,0x14,20,4,3,5,5,5,8,7,80,40,40,40,40,40,25,3,45,40,30,40,10,40,30,4,2,0,0,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,NoRank,NoRank,NoRank,DRank,CRank,NoRank,NoRank,MageKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Mage Knight (F),0x2d3,0x31f,0x2a,0x26,0x23,0x0,0x95,0x14,19,3,5,6,3,6,6,7,80,40,40,40,40,40,25,3,45,40,30,40,10,40,40,3,2,1,0,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,NoRank,NoRank,NoRank,NoRank,DRank,CRank,NoRank,NoRank,FMageKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Bishop,0x2d4,0x320,0x2b,0x45,0x24,0x0,0x7b,0x18,21,4,4,4,3,8,7,6,80,40,40,40,40,40,25,3,45,35,25,22,8,40,40,3,2,1,0,3,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,DRank,NoRank,0x88af2a8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Bishop (F),0x2d4,0x320,0x2c,0x4a,0x25,0x0,0xB3,0x18,19,4,5,4,2,9,5,6,80,40,40,40,40,40,25,3,45,35,25,22,8,50,40,3,1,2,1,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,CRank,NoRank,DRank,NoRank,FBishopAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman,ShamanName,ShamanDesc,0x2d,0x2f,0x26,0x1,0x7e,0x1b,16,2,1,2,2,4,7,5,80,20,20,20,20,20,25,3,50,50,32,30,10,30,20,1,2,0,1,1,2,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,0x88af2d8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Shaman (F),ShamanName,ShamanDesc,0x2e,0x30,0x71,0x1,0xCC,0x1b,15,3,1,1,1,5,3,5,80,20,20,20,20,20,25,3,50,45,32,30,10,40,20,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,DRank,FShamanAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid,0x2e2,0x32d,0x2f,0x2d,0x27,0x1,0x7f,0x1c,19,6,3,4,4,6,8,6,80,40,40,40,40,40,25,3,45,55,30,25,10,35,20,4,0,0,3,2,2,IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,DRank,NoRank,CRank,DruidAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Druid (F),0x2e2,0x32d,0x30,0x2e,0x72,0x1,0xBB,0x1c,17,7,3,4,3,7,4,6,80,40,40,40,40,40,25,3,45,55,30,25,10,35,20,0,0,0,0,0,0,IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,DRank,NoRank,CRank,FDruidAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner,0x2e3,0x32e,0x31,0x2d,0x28,0x0,0x7f,0x1d,18,5,3,4,3,5,8,6,80,40,40,40,40,40,25,3,45,50,30,25,8,35,20,3,0,1,3,1,3,Summoning|IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,0x88af330,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Summoner (F),0x2e3,0x32e,0x32,0x2e,0x28,0x0,0x7f,0x1d,18,5,3,4,3,5,4,6,80,40,40,40,40,40,25,3,45,50,30,25,8,35,20,0,0,0,0,0,0,Summoning|IsPromoted,NoRank,NoRank,NoRank,NoRank,ERank,NoRank,NoRank,CRank,0x88af348,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Rogue,0x2db,0x326,0x33,0xd,0x29,0x0,0x94,0x9,16,3,1,9,2,0,7,6,80,40,40,40,40,40,25,3,50,10,45,35,5,20,40,2,1,1,0,2,2,IsPromoted|CanUseLockpick|Steal,ERank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,FRogueAnim|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Gorgon Egg,0x300,0x34c,0x34,0x0,0x2a,0x0,0xa6,0x0,50,0,0,0,10,10,6,0,80,30,30,30,30,30,25,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,MonsterType
Great Knight,0x2e0,0x32b,0x35,0x9,0x2b,0x1,0x96,0x22,21,8,4,6,11,3,13,6,80,40,40,40,40,40,25,3,70,30,20,15,21,20,20,3,2,1,2,2,1,HorseIcon|IsPromoted|MountedAid|HasCanto,ERank,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,GreatKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Great Knight (F),0x2e0,0x32b,0x36,0xa,0x73,0x1,0x96,0x22,20,6,6,7,9,3,10,6,80,40,40,40,40,40,25,3,70,30,25,20,21,22,20,3,1,1,2,2,2,HorseIcon|IsPromoted|MountedAid|HasCanto,ERank,DRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,FGreatKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],ImperfectName,ImperfectDesc,0x37,0x3a,0x2c,0x0,0x8a,0x28,18,5,3,3,6,0,6,5,80,40,40,40,40,40,25,3,75,45,40,40,25,35,40,2,1,1,1,2,1,0x0,NoRank,DRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3ac,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],ImperfectName,ImperfectDesc,0x38,0x7e,0x2d,0x0,0x74,0x27,28,8,5,6,5,0,8,6,80,40,40,40,40,40,25,3,85,55,40,32,18,20,40,4,1,2,2,2,2,CritBoost|IsPromoted,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3b8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],ImperfectName,ImperfectDesc,0x39,0x7f,0x2e,0x0,0x7c,0x29,20,5,4,4,5,5,5,6,80,40,40,40,40,40,25,3,55,55,40,35,10,30,40,4,2,0,1,3,3,IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,CRank,ERank,DRank,0x88af3d0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Im[_p][_e][_r][_f][_e][_c][_t][_SP][_O][_n][_e],ImperfectName,ImperfectDesc,0x3a,0x37,0x2c,0x0,0x8a,0x28,23,6,6,11,7,6,6,6,80,40,40,40,40,40,25,3,75,45,40,40,25,35,40,2,2,1,1,2,1,IsPromoted|CritBoost,NoRank,CRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3e4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Manakete,0x2d7,0x323,0x3b,0x1f,0x2f,0x0,0xa9,0x1f,20,0,0,2,1,1,25,3,80,40,40,40,40,40,25,3,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons|IsPromoted,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3f0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType
Manakete (F),0x2d7,0x323,0x3c,0x20,0x30,0x0,0x8f,0x1f,12,0,0,2,2,2,5,6,80,40,40,40,40,40,25,2,95,40,30,20,0,10,25,0,0,0,0,0,0,UseMonsterWeapons,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af3fc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,DragonType
