INLINE PromotionBranchTable,Class Selection 1,Class Selection 2
Shaman,0x0,0x0
Angel,0x0,0x0
Commander,0x0,0x0
Baellista,0x0,0x0
Tank,0x0,0x0
Infantry,0x0,0x0
Howtizer,0x0,0x0
Warden,0x0,0x0
Guardian,0x0,0x0
Guardian,0x0,0x0
Drowned,0x0,0x0
Symphone,0x0,0x0
Druid,0x0,0x0
Succubus,0x0,0x0
Laplace,0x0,0x0
Scientist,0x0,0x0
Nephilim,0x0,0x0
Peg. Trainee,0x48,0xAD
Magic Girl,0x0,0x0
Mahou Girl,0x0,0x0
Maid,0x0,0x0
Gore,0x0,0x0
Legion,0x0,0x0
King,0x0,0x0
Seal,0x0,0x0
CEO,0x0,0x0
War Elephant,0x0,0x0
Rat,0x0,0x0
Catapult,0x0,0x0
Novistador,0x0,0x0
Dancer,0x0,0x0
Trickster,0x0,0x0
Marshall,0x0,0x0
Sentinel,0x0,0x0
Necromancer,0x0,0x0
Seraph Knight,0x0,0x0
Master Knight,0x0,0x0
Marksmen,0x0,0x0
Halberdier,0x0,0x0
Archer,0x0,0x0
Ballista,0x0,0x0
Vanguard,0x0,0x0
Ronin,0x0,0x0
Kensei,0x0,0x0
Campfire,0x0,0x0
Corpse,0x0,0x0
Corpse,0x0,0x0
Corpse,0x0,0x0
CAMERA,0x0,0x0
0xcb,0x0,0x0
0xcc,0x0,0x0
0xcd,0x0,0x0
0xce,0x0,0x0
0xcf,0x0,0x0
0xd0,0x0,0x0
0xd1,0x0,0x0
0xd2,0x0,0x0
0xd3,0x0,0x0
0xd4,0x0,0x0
0xd5,0x0,0x0
0xd6,0x0,0x0
0xd7,0x0,0x0
0xd8,0x0,0x0
0xd9,0x0,0x0
0xda,0x0,0x0
0xdb,0x0,0x0
0xdc,0x0,0x0
0xdd,0x0,0x0
0xde,0x0,0x0
0xdf,0x0,0x0
0xe0,0x0,0x0
0xe1,0x0,0x0
0xe2,0x0,0x0
0xe3,0x0,0x0
0xe4,0x0,0x0
0xe5,0x0,0x0
0xe6,0x0,0x0
0xe7,0x0,0x0
0xe8,0x0,0x0
0xe9,0x0,0x0
0xea,0x0,0x0
0xeb,0x0,0x0
0xec,0x0,0x0
0xed,0x0,0x0
0xee,0x0,0x0
0xef,0x0,0x0
0xf0,0x0,0x0
0xf1,0x0,0x0
0xf2,0x0,0x0
0xf3,0x0,0x0
0xf4,0x0,0x0
0xf5,0x0,0x0
0xf6,0x0,0x0
0xf7,0x0,0x0
0xf8,0x0,0x0
0xf9,0x0,0x0
0xfa,0x0,0x0
0xfb,0x0,0x0
0xfc,0x0,0x0
0xfd,0x0,0x0
0xfe,0x0,0x0
0xfe,0x0,0x0
